"Series";"V";"A";"Time";"Concentration"
"20220615_4_Clover_C";0.017341610478;0.1706851425;45;514.146425103449
"20220615_4_Clover_D";0.017341610478;0.1706851425;0;743.838901967812
"20220615_4_Clover_D";0.017341610478;0.1706851425;0;451.895266440041
"20220615_4_Clover_D";0.017341610478;0.1706851425;15;1595.73577628542
"20220615_4_Clover_D";0.017341610478;0.1706851425;15;889.103212839819
"20220615_4_Clover_D";0.017341610478;0.1706851425;30;1960.0956170342
"20220615_4_Clover_D";0.017341610478;0.1706851425;30;997.149583908449
"20220615_4_Clover_D";0.017341610478;0.1706851425;45;2236.44008878178
"20220615_4_Clover_D";0.017341610478;0.1706851425;45;1188.41237032554
"20220615_4_Trit_A";0.017341610478;0.1706851425;0;721.403294256406
"20220615_4_Trit_A";0.017341610478;0.1706851425;0;425.550419961682
"20220615_4_Trit_A";0.017341610478;0.1706851425;15;2387.69971749759
"20220615_4_Trit_A";0.017341610478;0.1706851425;15;1361.05134026367
"20220615_4_Trit_A";0.017341610478;0.1706851425;30;3849.928046448
"20220615_4_Trit_A";0.017341610478;0.1706851425;30;2144.79405679097
"20220615_4_Trit_A";0.017341610478;0.1706851425;45;4961.20056449438
"20220615_4_Trit_A";0.017341610478;0.1706851425;45;2710.44676163007
"20220615_4_Trit_B";0.017341610478;0.1706851425;0;706.267883562918
"20220615_4_Trit_B";0.017341610478;0.1706851425;0;362.903802467064
"20220615_4_Trit_B";0.017341610478;0.1706851425;15;3015.71128616983
"20220615_4_Trit_B";0.017341610478;0.1706851425;15;1661.62164700497
"20220615_4_Trit_B";0.017341610478;0.1706851425;30;4104.72743518326
"20220615_4_Trit_B";0.017341610478;0.1706851425;30;2043.85973611544
"20220615_4_Trit_B";0.017341610478;0.1706851425;45;3231.69605319959
"20220615_4_Trit_B";0.017341610478;0.1706851425;45;1176.99994133858
"20220615_4_Trit_C";0.017341610478;0.1706851425;0;769.88951627824
"20220615_4_Trit_C";0.017341610478;0.1706851425;0;421.62147573761
"20220615_4_Trit_C";0.017341610478;0.1706851425;15;3028.9252798254
"20220615_4_Trit_C";0.017341610478;0.1706851425;15;1574.57967359786
"20220615_4_Trit_C";0.017341610478;0.1706851425;30;2759.78760662775
"20220615_4_Trit_C";0.017341610478;0.1706851425;30;1259.0118943629
"20220615_4_Trit_C";0.017341610478;0.1706851425;45;5842.30119619912
"20220615_4_Trit_C";0.017341610478;0.1706851425;45;2361.89042755242
"20220623_1_3Spp_A";0.017341610478;0.1706851425;0;747.252265053582
"20220623_1_3Spp_A";0.017341610478;0.1706851425;15;1962.26672650821
"20220623_1_3Spp_A";0.017341610478;0.1706851425;30;2838.48769316735
"20220623_1_3Spp_A";0.017341610478;0.1706851425;45;3796.28520322984
"20220623_1_3Spp_B";0.017341610478;0.1706851425;0;706.623661542123
"20220623_1_3Spp_B";0.017341610478;0.1706851425;15;3606.94950254381
"20220623_1_3Spp_B";0.017341610478;0.1706851425;30;5230.44351342184
"20220623_1_3Spp_B";0.017341610478;0.1706851425;45;7613.49921550307
"20220623_1_3Spp_C";0.017341610478;0.1706851425;0;692.413597519891
"20220623_1_3Spp_C";0.017341610478;0.1706851425;15;2092.26551668219
