Series;f0;f0.se;f0.p;f0.lo95;f0.up95;Method;Warning;Prefilter;Prefilter.p;SatCrit.Warning;LR.f0;LR.f0.se;LR.f0.p;LR.f0.lo95;LR.f0.up95;LR.Warning
20220623_4_3Spp_A;1.708e+01;2.316e+00;8.582e-02;-1.235e+01;4.651e+01;HMR;None;Signal;0.000e+00;NA;1.033e+01;1.197e+00;1.317e-02;5.179e+00;1.548e+01;None
20220623_4_3Spp_B;1.038e+01;4.160e+00;1.301e-01;-7.524e+00;2.828e+01;LR;None;Signal;0.000e+00;NA;1.038e+01;4.160e+00;1.301e-01;-7.524e+00;2.828e+01;None
20220623_4_3Spp_C;3.278e+01;1.126e+02;8.197e-01;-1.398e+03;1.463e+03;HMR;None;Signal;4.938e-10;NA;3.429e+00;3.997e+00;4.814e-01;-1.377e+01;2.063e+01;None
20220623_4_Clover_A;9.430e+00;2.405e-01;1.623e-02;6.374e+00;1.249e+01;HMR;None;Signal;1.983e-11;NA;7.035e+00;4.573e-01;4.199e-03;5.067e+00;9.002e+00;None
20220623_4_Clover_B;7.239e+00;1.553e+00;4.310e-02;5.546e-01;1.392e+01;LR;None;Signal;4.400e-13;NA;7.239e+00;1.553e+00;4.310e-02;5.546e-01;1.392e+01;None
20220623_4_Clover_C;9.021e+00;1.829e-01;4.109e-04;8.234e+00;9.808e+00;LR;None;Signal;0.000e+00;NA;9.021e+00;1.829e-01;4.109e-04;8.234e+00;9.808e+00;None
20220623_4_Clover_D;1.112e+01;2.956e+00;1.654e-01;-2.644e+01;4.868e+01;HMR;None;Signal;0.000e+00;NA;1.012e+01;6.005e-01;3.503e-03;7.537e+00;1.270e+01;None
20220623_4_Trit_A;1.442e+01;4.105e+00;1.766e-01;-3.774e+01;6.657e+01;HMR;None;Signal;0.000e+00;NA;1.189e+01;8.722e-01;5.336e-03;8.140e+00;1.565e+01;None
20220623_4_Trit_B;2.320e+01;4.516e-01;1.239e-02;1.746e+01;2.894e+01;HMR;None;Signal;0.000e+00;NA;1.080e+01;1.926e+00;3.035e-02;2.516e+00;1.909e+01;None
20220623_4_Trit_C;2.230e+01;1.759e+01;4.251e-01;-2.012e+02;2.458e+02;HMR;None;Signal;1.332e-15;NA;7.295e+00;2.744e+00;1.172e-01;-4.513e+00;1.910e+01;None
20220629_1_3Spp_A;1.134e+01;2.901e-01;1.629e-02;7.651e+00;1.502e+01;HMR;None;Signal;1.460e-07;NA;5.567e+00;9.254e-01;2.654e-02;1.585e+00;9.549e+00;None
20220629_1_3Spp_B;1.144e+01;4.471e-01;2.486e-02;5.762e+00;1.712e+01;HMR;None;Signal;2.776e-15;NA;8.134e+00;6.233e-01;5.820e-03;5.452e+00;1.082e+01;None
20220629_1_3Spp_C;1.053e+01;4.439e-01;2.683e-02;4.885e+00;1.617e+01;HMR;None;Signal;2.576e-14;NA;7.884e+00;5.100e-01;4.158e-03;5.689e+00;1.008e+01;None
20220629_1_Clover_A;1.784e+01;9.175e+00;3.023e-01;-9.873e+01;1.344e+02;HMR;None;Signal;3.792e-02;NA;2.229e+00;1.224e+00;2.101e-01;-3.036e+00;7.493e+00;None
20220629_1_Clover_B;8.139e+00;7.421e-01;5.789e-02;-1.291e+00;1.757e+01;HMR;None;Signal;8.736e-09;NA;6.153e+00;3.932e-01;4.059e-03;4.461e+00;7.844e+00;None
20220629_1_Clover_C;7.404e+00;3.815e+00;3.029e-01;-4.108e+01;5.588e+01;HMR;None;Signal;1.346e-08;NA;6.025e+00;7.182e-01;1.392e-02;2.934e+00;9.115e+00;None
20220629_1_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;4.203e-01;NA;5.480e-01;1.087e+00;6.642e-01;-4.129e+00;5.225e+00;None
20220629_1_Trit_A;4.242e+01;5.445e+01;5.787e-01;-6.495e+02;7.343e+02;HMR;None;Signal;0.000e+00;NA;1.379e+01;6.703e+00;1.759e-01;-1.505e+01;4.263e+01;None
20220629_1_Trit_B;6.669e+00;1.802e+00;6.585e-02;-1.083e+00;1.442e+01;LR;None;Signal;1.143e-11;NA;6.669e+00;1.802e+00;6.585e-02;-1.083e+00;1.442e+01;None
20220629_1_Trit_C;1.368e+01;5.550e+00;2.453e-01;-5.683e+01;8.420e+01;HMR;None;Signal;8.895e-11;NA;6.574e+00;1.377e+00;4.120e-02;6.483e-01;1.250e+01;None
20220629_2_3Spp_A;1.127e+01;3.938e+00;2.141e-01;-3.877e+01;6.131e+01;HMR;None;Signal;5.308e-04;NA;3.758e+00;1.119e+00;7.839e-02;-1.057e+00;8.573e+00;None
20220629_2_3Spp_B;3.607e+00;1.175e+00;9.169e-02;-1.447e+00;8.661e+00;LR;None;Signal;8.163e-04;NA;3.607e+00;1.175e+00;9.169e-02;-1.447e+00;8.661e+00;None
20220629_2_3Spp_C;8.221e+00;2.968e+00;2.206e-01;-2.949e+01;4.593e+01;HMR;None;Signal;5.914e-05;NA;4.447e+00;7.735e-01;2.895e-02;1.119e+00;7.775e+00;None
20220629_2_Clover_A;9.073e+00;9.432e-01;6.595e-02;-2.912e+00;2.106e+01;HMR;None;Signal;5.131e-04;NA;3.939e+00;7.677e-01;3.595e-02;6.356e-01;7.242e+00;None
20220629_2_Clover_B;6.241e+00;1.920e+00;8.302e-02;-2.020e+00;1.450e+01;LR;None;Signal;1.272e-10;NA;6.241e+00;1.920e+00;8.302e-02;-2.020e+00;1.450e+01;None
20220629_2_Clover_C;5.356e+00;1.947e+00;1.106e-01;-3.020e+00;1.373e+01;LR;None;Signal;2.329e-08;NA;5.356e+00;1.947e+00;1.106e-01;-3.020e+00;1.373e+01;None
20220629_2_Clover_D;4.457e+00;2.776e-01;3.960e-02;9.300e-01;7.984e+00;HMR;None;Signal;4.121e-04;NA;4.137e+00;8.520e-02;4.238e-04;3.771e+00;4.504e+00;None
20220629_2_Trit_A;9.066e+00;1.286e+00;8.972e-02;-7.277e+00;2.541e+01;HMR;None;Signal;5.917e-05;NA;4.448e+00;7.710e-01;2.876e-02;1.130e+00;7.765e+00;None
20220629_2_Trit_B;8.847e+00;5.001e-01;3.595e-02;2.493e+00;1.520e+01;HMR;None;Signal;1.295e-07;NA;5.681e+00;5.755e-01;1.011e-02;3.205e+00;8.157e+00;None
20220629_2_Trit_C;9.595e+00;3.011e+00;1.936e-01;-2.866e+01;4.785e+01;HMR;None;Signal;1.405e-03;NA;3.593e+00;9.413e-01;6.229e-02;-4.569e-01;7.643e+00;None
20220629_3_3Spp_A;7.979e+00;1.780e-01;1.420e-02;5.717e+00;1.024e+01;HMR;None;Signal;1.405e-07;NA;5.693e+00;4.281e-01;5.605e-03;3.852e+00;7.535e+00;None
20220629_3_3Spp_B;5.273e+00;6.593e-01;1.527e-02;2.437e+00;8.110e+00;LR;None;Signal;1.157e-06;NA;5.273e+00;6.593e-01;1.527e-02;2.437e+00;8.110e+00;None
20220629_3_3Spp_C;6.293e+00;6.236e-01;6.288e-02;-1.631e+00;1.422e+01;HMR;None;Signal;2.952e-03;NA;3.568e+00;4.778e-01;1.746e-02;1.513e+00;5.624e+00;None
20220629_3_Clover_A;1.031e+01;1.481e+00;9.080e-02;-8.505e+00;2.913e+01;HMR;None;Signal;4.030e-14;NA;7.827e+00;5.266e-01;4.496e-03;5.561e+00;1.009e+01;None
20220629_3_Clover_B;4.680e+00;1.634e+00;1.034e-01;-2.353e+00;1.171e+01;LR;None;Signal;2.418e-06;NA;4.680e+00;1.634e+00;1.034e-01;-2.353e+00;1.171e+01;None
20220629_3_Clover_C;6.724e+00;4.631e-01;4.377e-02;8.405e-01;1.261e+01;HMR;None;Signal;3.649e-04;NA;4.115e+00;4.670e-01;1.264e-02;2.106e+00;6.125e+00;None
